"PROJ","CLASSIFIER","ITERATION","FEATURE_SELECTION","SAMPLING","COST_SENSITIVE","PRECISION","RECALL","AUC","KAPPA","NPOFB","TP","FP","TN","FN","%_OF_TRAINING"
"BOOKKEEPER","IBk","3","BEST FIRST","NO","NO","0,29371","0,38532","0,69059","0,15685","0","42.0","101.0","381.0","67.0","64,39759"
"BOOKKEEPER","RandomForest","3","BEST FIRST","UNDERSAMPLING","NO","0,35211","0,68807","0,76706","0,29344","0","75.0","138.0","344.0","34.0","64,39759"
"BOOKKEEPER","NaiveBayes","3","BEST FIRST","UNDERSAMPLING","NO","1","0,00917","0,75827","0,01488","0","1.0","0.0","482.0","108.0","64,39759"
"BOOKKEEPER","IBk","3","BEST FIRST","UNDERSAMPLING","NO","0,28017","0,59633","0,66927","0,17392","0","65.0","167.0","315.0","44.0","64,39759"
"BOOKKEEPER","RandomForest","3","BEST FIRST","OVERSAMPLING","NO","0,32812","0,57798","0,73973","0,23972","0","63.0","129.0","353.0","46.0","64,39759"
"BOOKKEEPER","NaiveBayes","3","BEST FIRST","OVERSAMPLING","NO","0,77778","0,06422","0,76609","0,09313","0","7.0","2.0","480.0","102.0","64,39759"
"BOOKKEEPER","IBk","3","BEST FIRST","OVERSAMPLING","NO","0,27461","0,48624","0,68959","0,15081","0","53.0","140.0","342.0","56.0","64,39759"
"BOOKKEEPER","RandomForest","3","BEST FIRST","NO","SENSITIVE_LEARNING","1","0,00917","0,81306","0,01488","0","1.0","0.0","482.0","108.0","64,39759"
"BOOKKEEPER","NaiveBayes","3","BEST FIRST","NO","SENSITIVE_LEARNING","NaN","0","0,79387","0","0","0.0","0.0","482.0","109.0","64,39759"
"BOOKKEEPER","IBk","3","BEST FIRST","NO","SENSITIVE_LEARNING","0,35922","0,33945","0,69078","0,20693","0","37.0","66.0","416.0","72.0","64,39759"
"BOOKKEEPER","RandomForest","4","NO","NO","NO","0,51579","0,71014","0,89525","0,53755","0","49.0","46.0","501.0","20.0","72,93497"
"BOOKKEEPER","NaiveBayes","4","NO","NO","NO","0,33333","0,01449","0,96375","0,01862","0","1.0","2.0","545.0","68.0","72,93497"
"BOOKKEEPER","IBk","4","NO","NO","NO","0,44828","0,56522","0,81108","0,42861","0","39.0","48.0","499.0","30.0","72,93497"
"BOOKKEEPER","RandomForest","4","BEST FIRST","NO","NO","0,52747","0,69565","0,88873","0,54159","0","48.0","43.0","504.0","21.0","72,93497"
"BOOKKEEPER","NaiveBayes","4","BEST FIRST","NO","NO","0","0","0,77858","-0,00635","0","0.0","2.0","545.0","69.0","72,93497"
"BOOKKEEPER","IBk","4","BEST FIRST","NO","NO","0,43269","0,65217","0,81593","0,44556","0","45.0","59.0","488.0","24.0","72,93497"
"BOOKKEEPER","RandomForest","4","BEST FIRST","UNDERSAMPLING","NO","0,27228","0,7971","0,85008","0,28681","0","55.0","147.0","400.0","14.0","72,93497"
"BOOKKEEPER","NaiveBayes","4","BEST FIRST","UNDERSAMPLING","NO","0,2","0,01449","0,77387","0,01207","0","1.0","4.0","543.0","68.0","72,93497"
"BOOKKEEPER","IBk","4","BEST FIRST","UNDERSAMPLING","NO","0,23529","0,75362","0,75741","0,22658","0","52.0","169.0","378.0","17.0","72,93497"
"BOOKKEEPER","RandomForest","4","BEST FIRST","OVERSAMPLING","NO","0,41085","0,76812","0,85841","0,45595","0","53.0","76.0","471.0","16.0","72,93497"
