Index,Version ID,Version Name,Date
1,12317843,4.0.0,2011-12-07T00:00
2,12319145,4.1.0,2012-06-13T00:00
3,12321757,4.1.1,2013-01-16T00:00
4,12320244,4.2.0,2013-01-19T00:00
5,12323840,4.2.1,2013-03-27T00:00
6,12324601,4.2.2,2013-10-10T00:00
7,12323267,4.3.0,2014-02-02T00:00
