VERSION, FILE_NAME, LOC, LOC_TOUCHED, NUMBER_OF_REVISIONS, LOC_ADDED, AVG_LOC_ADDED, NUMBER_OF_AUTHORS, MAX_LOC_ADDED, TOTAL_LOC_REMOVED, MAX_LOC_REMOVED, AVG_LOC_TOUCHED, BUGGY
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,11366,130,7,90,12.857142857142858,3,32,40,16,18,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,8419,155,9,92,10.222222222222221,3,28,63,17,17,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,9816,74,6,46,7.666666666666667,3,17,28,9,12,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,3240,18,4,9,2.25,3,7,9,7,4,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,8096,61,4,44,11.0,3,30,17,11,15,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,9836,43,4,23,5.75,3,17,20,17,10,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,5205,151,6,127,21.166666666666668,2,101,24,10,25,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,1640,78,1,78,78.0,1,78,0,0,78,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,3690,2,2,1,0.5,2,1,1,1,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,4230,2,2,1,0.5,2,1,1,1,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,1035,107,2,106,53.0,1,61,1,1,53,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,1947,232,4,224,56.0,2,216,8,6,58,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,4686,417,4,397,99.25,2,377,20,11,104,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,3547,257,2,255,127.5,1,251,2,2,128,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,2800,193,1,193,193.0,1,193,0,0,193,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,8025,514,1,514,514.0,1,514,0,0,514,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,2725,204,1,204,204.0,1,204,0,0,204,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,500,144,1,144,144.0,1,144,0,0,144,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,1375,98,1,98,98.0,1,98,0,0,98,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,11153,47,7,25,3.5714285714285716,3,9,22,9,6,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,3429,95,4,87,21.75,3,71,8,5,23,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,20533,376,11,280,25.454545454545453,3,111,96,48,34,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,2385,89,3,82,27.333333333333332,3,75,7,7,29,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,32261,58,8,35,4.375,3,8,23,8,7,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,33912,190,9,110,12.222222222222221,3,24,80,24,21,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,9540,0,1,0,0.0,1,0,0,0,0,NO
