"PROJ","CLASSIFIER","ITERATION","FEATURE_SELECTION","SAMPLING","COST_SENSITIVE","PRECISION","RECALL","AUC","KAPPA","NPOFB","TP","FP","TN","FN","%_OF_TRAINING"
"SYNCOPE","NaiveBayes","3","BEST FIRST","NO","NO","0,11765","0,15385","0,7505","0,10961","0,15385","2.0","15.0","525.0","11.0","82,94789"
"SYNCOPE","IBk","3","BEST FIRST","NO","NO","0,66667","0,30769","0,87528","0,41233","0,69231","4.0","2.0","538.0","9.0","82,94789"
"SYNCOPE","RandomForest","3","BEST FIRST","UNDERSAMPLING","NO","0,06358","0,84615","0,84217","0,07796","0,30769","11.0","162.0","378.0","2.0","82,94789"
"SYNCOPE","NaiveBayes","3","BEST FIRST","UNDERSAMPLING","NO","0,0625","0,23077","0,7166","0,06372","0,16667","3.0","45.0","495.0","10.0","82,94789"
"SYNCOPE","IBk","3","BEST FIRST","UNDERSAMPLING","NO","0,0719","0,84615","0,76489","0,09324","0,38462","11.0","142.0","398.0","2.0","82,94789"
"SYNCOPE","RandomForest","3","BEST FIRST","OVERSAMPLING","NO","0,42105","0,61538","0,83298","0,48564","0,69231","8.0","11.0","529.0","5.0","82,94789"
"SYNCOPE","NaiveBayes","3","BEST FIRST","OVERSAMPLING","NO","0,07143","0,30769","0,74003","0,08087","0,16667","4.0","52.0","488.0","9.0","82,94789"
"SYNCOPE","IBk","3","BEST FIRST","OVERSAMPLING","NO","0,36842","0,53846","0,82735","0,42135","0,61538","7.0","12.0","528.0","6.0","82,94789"
"SYNCOPE","RandomForest","3","BEST FIRST","NO","SENSITIVE_LEARNING","0,42105","0,61538","0,79494","0,48564","0,61538","8.0","11.0","529.0","5.0","82,94789"
"SYNCOPE","NaiveBayes","3","BEST FIRST","NO","SENSITIVE_LEARNING","0,1","0,23077","0,7505","0,11035","0,07692","3.0","27.0","513.0","10.0","82,94789"
"SYNCOPE","IBk","3","BEST FIRST","NO","SENSITIVE_LEARNING","0,38889","0,53846","0,8755","0,43622","0,69231","7.0","11.0","529.0","6.0","82,94789"
