@RELATION file_train_step_4

@ATTRIBUTE LOC REAL
@ATTRIBUTE LOC_TOUCHED REAL
@ATTRIBUTE NUMBER_OF_REVISIONS REAL
@ATTRIBUTE LOC_ADDED REAL
@ATTRIBUTE AVG_LOC_ADDED REAL
@ATTRIBUTE NUMBER_OF_AUTHORS REAL
@ATTRIBUTE MAX_LOC_ADDED REAL
@ATTRIBUTE TOTAL_LOC_REMOVED REAL
@ATTRIBUTE MAX_LOC_REMOVED REAL
@ATTRIBUTE AVG_LOC_TOUCHED REAL
@ATTRIBUTE BUGGY {NO, YES}

@DATA
17,17,1,17,17.0,1,17,0,0,17,NO
17,17,1,17,17.0,1,17,0,0,17,NO
17,17,1,17,17.0,1,17,0,0,17,NO
16,16,1,16,16.0,1,16,0,0,16,NO
17,17,1,17,17.0,1,17,0,0,17,YES
93,93,1,93,93.0,1,93,0,0,93,YES
188,188,1,188,188.0,1,188,0,0,188,YES
75,77,2,76,38.0,1,75,1,1,38,YES
171,18,4,10,2.5,3,4,8,4,4,NO
116,179,12,123,10.25,3,31,56,28,14,YES
192,67,6,38,6.333333333333333,3,20,29,19,11,YES
202,27,6,14,2.333333333333333,3,5,13,5,4,YES
142,180,3,158,52.66666666666666,2,142,22,20,60,YES
521,405,10,318,31.8,3,121,87,34,40,YES
58,64,3,62,20.666666666666668,3,58,2,1,21,YES
31,7,3,4,1.3333333333333333,2,3,3,2,2,YES
142,31,6,20,3.333333333333333,3,8,11,6,5,YES
60,70,3,66,22.0,2,60,4,3,23,NO
23,23,1,23,23.0,1,23,0,0,23,YES
81,25,4,8,2.0,3,3,17,13,6,YES
39,42,4,31,7.75,3,19,11,9,10,YES
74,11,5,7,1.4,3,3,4,2,2,NO
32,5,3,4,1.3333333333333333,3,4,1,1,1,YES
28,28,1,28,28.0,1,28,0,0,28,NO
6,6,1,6,6.0,1,6,0,0,6,NO
7,11,3,9,3.0,2,7,2,1,3,NO
10,12,2,11,5.5,2,10,1,1,6,YES
33,47,2,40,20.0,2,33,7,7,23,YES
92,102,3,97,32.333333333333336,2,92,5,4,34,YES
91,116,4,104,26.0,2,91,12,9,29,YES
124,133,3,129,43.0,2,124,4,2,44,YES
24,26,2,25,12.5,2,24,1,1,13,NO
76,93,5,85,17.0,3,76,8,5,18,NO
67,72,3,70,23.33333333333333,2,67,2,2,24,NO
24,24,2,24,12.0,2,24,0,0,12,NO
82,86,2,84,42.0,2,82,2,2,43,YES
41,43,2,42,21.0,2,41,1,1,21,NO
10,10,1,10,10.0,1,10,0,0,10,NO
10,10,2,10,5.0,2,10,0,0,5,NO
10,10,2,10,5.0,2,10,0,0,5,NO
44,65,4,55,13.75,2,44,10,5,16,YES
39,44,3,42,14.0,2,39,2,2,14,NO
37,52,4,45,11.25,2,37,7,3,13,NO
59,76,4,68,17.0,2,59,8,3,19,YES
161,267,6,216,36.0,3,161,51,24,44,YES
45,64,4,55,13.75,2,45,9,5,16,NO
29,39,3,34,11.333333333333334,2,29,5,3,13,NO
62,77,4,70,17.5,2,62,7,4,19,YES
186,12,1,12,12.0,1,12,0,0,12,YES
115,141,5,131,26.2,2,115,10,6,28,YES
365,478,4,422,105.5,2,365,56,45,119,YES
201,248,5,225,45.0,2,201,23,13,49,YES
49,66,4,58,14.5,2,49,8,4,16,YES
17,17,1,17,17.0,1,17,0,0,17,NO
33,54,2,44,22.0,2,33,10,10,27,NO
16,19,3,19,6.333333333333333,3,16,0,0,6,NO
6,8,2,7,3.5,2,6,1,1,4,NO
