@relation file_train_step_1

@attribute LOC numeric
@attribute LOC_TOUCHED numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute MAX_LOC_ADDED numeric
@attribute TOTAL_LOC_REMOVED numeric
@attribute MAX_LOC_REMOVED numeric
@attribute AVG_LOC_TOUCHED numeric
@attribute BUGGY {YES,NO}

@data
171,18,4,10,2.5,3,4,8,4,4,NO
116,179,12,123,10.25,3,31,56,28,14,NO
192,67,6,38,6.333333,3,20,29,19,11,NO
202,27,6,14,2.333333,3,5,13,5,4,NO
142,180,3,158,52.666667,2,142,22,20,60,NO
521,405,10,318,31.8,3,121,87,34,40,NO
58,64,3,62,20.666667,3,58,2,1,21,NO
31,7,3,4,1.333333,2,3,3,2,2,NO
142,31,6,20,3.333333,3,8,11,6,5,NO
60,70,3,66,22,2,60,4,3,23,NO
23,23,1,23,23,1,23,0,0,23,NO
81,25,4,8,2,3,3,17,13,6,NO
39,42,4,31,7.75,3,19,11,9,10,NO
74,11,5,7,1.4,3,3,4,2,2,NO
32,5,3,4,1.333333,3,4,1,1,1,NO
28,28,1,28,28,1,28,0,0,28,NO
6,6,1,6,6,1,6,0,0,6,NO
7,11,3,9,3,2,7,2,1,3,NO
10,12,2,11,5.5,2,10,1,1,6,NO
33,47,2,40,20,2,33,7,7,23,NO
92,102,3,97,32.333333,2,92,5,4,34,NO
91,116,4,104,26,2,91,12,9,29,NO
124,133,3,129,43,2,124,4,2,44,NO
24,26,2,25,12.5,2,24,1,1,13,NO
76,93,5,85,17,3,76,8,5,18,NO
67,72,3,70,23.333333,2,67,2,2,24,NO
24,24,2,24,12,2,24,0,0,12,NO
82,86,2,84,42,2,82,2,2,43,NO
41,43,2,42,21,2,41,1,1,21,NO
10,10,1,10,10,1,10,0,0,10,NO
10,10,2,10,5,2,10,0,0,5,NO
10,10,2,10,5,2,10,0,0,5,NO
44,65,4,55,13.75,2,44,10,5,16,NO
39,44,3,42,14,2,39,2,2,14,NO
37,52,4,45,11.25,2,37,7,3,13,NO
59,76,4,68,17,2,59,8,3,19,NO
161,267,6,216,36,3,161,51,24,44,NO
45,64,4,55,13.75,2,45,9,5,16,NO
29,39,3,34,11.333333,2,29,5,3,13,NO
62,77,4,70,17.5,2,62,7,4,19,NO
186,12,1,12,12,1,12,0,0,12,NO
115,141,5,131,26.2,2,115,10,6,28,NO
365,478,4,422,105.5,2,365,56,45,119,NO
201,248,5,225,45,2,201,23,13,49,NO
49,66,4,58,14.5,2,49,8,4,16,NO
17,17,1,17,17,1,17,0,0,17,NO
33,54,2,44,22,2,33,10,10,27,NO
16,19,3,19,6.333333,3,16,0,0,6,NO
6,8,2,7,3.5,2,6,1,1,4,NO
93,123,4,108,27,3,93,15,14,30,NO
26,26,1,26,26,1,26,0,0,26,NO
24,24,1,24,24,1,24,0,0,24,NO
60,65,2,63,31.5,2,60,2,2,32,NO
72,72,1,72,72,1,72,0,0,72,NO
18,18,1,18,18,1,18,0,0,18,NO
18,18,1,18,18,1,18,0,0,18,NO
29,29,1,29,29,1,29,0,0,29,NO
15,15,2,15,7.5,2,15,0,0,7,NO
18,18,1,18,18,1,18,0,0,18,NO
72,80,2,76,38,2,72,4,4,40,NO
29,29,1,29,29,1,29,0,0,29,NO
114,114,2,114,57,2,114,0,0,57,NO
5429,16087,2,10894,5447,2,5465,5193,5193,8043,NO
90,92,2,91,45.5,2,90,1,1,46,NO
17,17,1,17,17,1,17,0,0,17,NO
14,14,2,14,7,2,14,0,0,7,NO
60,125,3,93,31,2,60,32,30,41,NO
65,121,5,94,18.8,3,65,27,23,24,NO
52,87,4,70,17.5,3,52,17,14,21,NO
68,165,3,117,39,2,68,48,46,55,NO
18,18,1,18,18,1,18,0,0,18,NO
197,199,2,198,99,2,197,1,1,99,NO
10,17,2,14,7,2,10,3,3,8,NO
74,74,1,74,74,1,74,0,0,74,NO
10,10,2,10,5,2,10,0,0,5,NO
47,47,1,47,47,1,47,0,0,47,NO
6,6,1,6,6,1,6,0,0,6,NO
6,6,1,6,6,1,6,0,0,6,NO
9,11,2,10,5,2,9,1,1,5,NO
304,340,4,324,81,3,304,16,14,85,NO
37,69,2,53,26.5,2,37,16,16,34,NO
5,5,2,5,2.5,2,5,0,0,2,NO
36,38,2,37,18.5,2,36,1,1,19,NO
6,6,2,6,3,2,6,0,0,3,NO
41,63,2,52,26,2,41,11,11,31,NO
99,122,3,111,37,2,99,11,9,40,NO
45,47,2,46,23,2,45,1,1,23,NO
252,293,6,282,47,3,252,11,4,48,NO
37,39,2,38,19,2,37,1,1,19,NO
107,116,3,112,37.333333,2,107,4,2,38,NO
492,759,3,626,208.666667,2,492,133,128,253,NO
47,49,2,48,24,2,47,1,1,24,NO
53,58,3,56,18.666667,2,53,2,2,19,NO
4,4,1,4,4,1,4,0,0,4,NO
292,309,3,301,100.333333,2,292,8,6,103,NO
32,32,1,32,32,1,32,0,0,32,NO
28,28,2,28,14,2,28,0,0,14,NO
12,12,2,12,6,2,12,0,0,6,NO
4,4,2,4,2,2,4,0,0,2,NO
37,39,2,38,19,2,37,1,1,19,NO
336,373,3,355,118.333333,2,336,18,16,124,NO
10,10,2,10,5,2,10,0,0,5,NO
15,15,1,15,15,1,15,0,0,15,NO
27,27,2,27,13.5,2,27,0,0,13,NO
79,85,2,82,41,2,79,3,3,42,NO
113,126,4,120,30,2,113,6,2,31,NO
13,17,2,15,7.5,2,13,2,2,8,NO
30,35,2,33,16.5,2,30,2,2,17,NO
35,35,1,35,35,1,35,0,0,35,NO
73,92,4,83,20.75,2,73,9,5,23,NO
41,46,2,44,22,2,41,2,2,23,NO
54,61,3,58,19.333333,2,54,3,2,20,NO
41,41,1,41,41,1,41,0,0,41,NO
14,18,2,16,8,2,14,2,2,9,NO
25,25,2,25,12.5,2,25,0,0,12,NO
37,49,3,43,14.333333,2,37,6,4,16,NO
137,178,4,159,39.75,2,137,19,12,44,NO
24,24,1,24,24,1,24,0,0,24,NO
303,343,4,324,81,2,303,19,16,85,NO
16,16,1,16,16,1,16,0,0,16,NO
43,51,2,47,23.5,2,43,4,4,25,NO
28,28,2,28,14,2,28,0,0,14,NO
