@relation file_train_step_26

@attribute LOC numeric
@attribute LOC_TOUCHED numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute MAX_LOC_ADDED numeric
@attribute TOTAL_LOC_REMOVED numeric
@attribute MAX_LOC_REMOVED numeric
@attribute AVG_LOC_TOUCHED numeric
@attribute BUGGY {YES,NO}

@data
103,349,12,231,19.25,4,103,118,42,29,YES
140,379,14,288,20.571429,5,140,91,42,27,YES
124,547,27,349,12.925926,5,68,198,66,20,YES
99,256,17,188,11.058824,4,40,68,35,15,YES
81,388,16,253,15.8125,4,110,135,68,24,YES
86,869,46,601,13.065217,5,86,268,64,18,YES
134,471,12,308,25.666667,4,134,163,90,39,YES
280,2620,78,1743,22.346154,5,183,877,322,33,YES
61,89,5,72,14.4,4,61,17,16,17,YES
46,59,5,52,10.4,4,46,7,5,11,YES
255,295,11,272,24.727273,3,255,23,18,26,YES
50,215,7,151,21.571429,3,50,64,28,30,YES
39,39,3,39,13,3,39,0,0,13,YES
16,20,4,16,4,3,16,4,4,5,YES
8,11,6,10,1.666667,3,8,1,1,1,YES
8,11,6,10,1.666667,3,8,1,1,1,YES
9,9,3,9,3,3,9,0,0,3,YES
6,7,4,7,1.75,3,6,0,0,1,YES
4,4,1,4,4,1,4,0,0,4,NO
11,11,3,11,3.666667,3,11,0,0,3,YES
34,34,3,34,11.333333,3,34,0,0,11,YES
81,176,6,134,22.333333,2,81,42,20,29,YES
20,20,1,20,20,1,20,0,0,20,NO
11,11,1,11,11,1,11,0,0,11,NO
16,16,1,16,16,1,16,0,0,16,NO
10,10,1,10,10,1,10,0,0,10,NO
58,1,1,1,1,1,1,0,0,1,NO
56,107,6,86,14.333333,1,56,21,9,17,NO
7,2,1,2,2,1,2,0,0,2,NO
53,53,1,53,53,1,53,0,0,53,NO
27,35,3,31,10.333333,1,27,4,2,11,NO
149,149,1,149,149,1,149,0,0,149,NO
23,23,1,23,23,1,23,0,0,23,NO
76,76,1,76,76,1,76,0,0,76,NO
75,75,1,75,75,1,75,0,0,75,NO
13,13,1,13,13,1,13,0,0,13,NO
52,83,6,68,11.333333,1,52,15,9,13,NO
47,3,2,2,1,1,1,1,1,1,NO
24,24,1,24,24,1,24,0,0,24,NO
99,1,1,1,1,1,1,0,0,1,NO
25,25,1,25,25,1,25,0,0,25,NO
32,0,1,0,0,1,0,0,0,0,NO
74,78,2,74,37,1,74,4,4,39,NO
7,14,3,11,3.666667,1,7,3,3,4,NO
57,9,3,5,1.666667,1,2,4,2,3,NO
11,1,1,1,1,1,1,0,0,1,NO
124,150,4,138,34.5,1,124,12,11,37,NO
5,12,3,10,3.333333,1,5,2,1,4,NO
43,1,1,1,1,1,1,0,0,1,NO
14,34,3,24,8,1,14,10,6,11,NO
14,28,3,21,7,1,14,7,4,9,NO
22,29,2,29,14.5,1,22,0,0,14,NO
14,28,3,21,7,1,14,7,4,9,NO
34,7,2,7,3.5,1,6,0,0,3,NO
184,187,2,185,92.5,1,184,2,2,93,NO
22,22,1,22,22,1,22,0,0,22,NO
56,402,11,254,23.090909,1,81,148,77,36,NO
32,126,7,83,11.857143,1,32,43,23,18,NO
98,101,3,100,33.333333,1,98,1,1,33,NO
43,2,1,2,2,1,2,0,0,2,NO
33,120,5,87,17.4,1,40,33,25,24,NO
32,56,4,47,11.75,1,32,9,6,14,NO
18,24,2,19,9.5,1,18,5,5,12,NO
86,200,6,155,25.833333,1,86,45,20,33,NO
32,32,1,32,32,1,32,0,0,32,NO
